provider_id,provider_name,npi,dea,specialty_concept_id,care_site_id,year_of_birth,gender_concept_id,provider_source_value,specialty_source_value,specialty_source_concept_id,gender_source_value,gender_source_concept_id
3976,,,,0,,,0,3976,UCO,0,,0
3977,,,,0,,,0,3977,RN,0,,0
3979,,,,0,,,0,3979,RN,0,,0
3980,,,,0,,,0,3980,RPh,0,,0
3981,,,,0,,,0,3981,MD,PhD,0,,0
3983,,,,0,,,0,3983,RN,0,,0
3984,,,,0,,,0,3984,RN,0,,0
3985,,,,0,,,0,3985,RN,0,,0
3987,,,,0,,,0,3987,PA,0,,0
3988,,,,0,,,0,3988,MD,0,,0
3990,,,,0,,,0,3990,RN,0,,0
3991,,,,0,,,0,3991,RN,0,,0
3993,,,,0,,,0,3993,MD,0,,0
3994,,,,0,,,0,3994,MD,0,,0
3995,,,,0,,,0,3995,RN,0,,0
3997,,,,0,,,0,3997,MD,0,,0
3998,,,,0,,,0,3998,RN,0,,0
4000,,,,0,,,0,4000,RRT,0,,0
4001,,,,0,,,0,4001,MD,0,,0
4002,,,,0,,,0,4002,RN,0,,0
4004,,,,0,,,0,4004,RN,0,,0
4005,,,,0,,,0,4005,MD,0,,0
4007,,,,0,,,0,4007,RN,0,,0
4008,,,,0,,,0,4008,RD,0,,0
4010,,,,0,,,0,4010,RN,0,,0
4011,,,,0,,,0,4011,MD,0,,0
4013,,,,0,,,0,4013,RN,0,,0
4014,,,,0,,,0,4014,MD,0,,0
4015,,,,0,,,0,4015,MD,0,,0
4017,,,,0,,,0,4017,MD,0,,0
4018,,,,0,,,0,4018,MD,0,,0
4020,,,,0,,,0,4020,RN,0,,0
4021,,,,0,,,0,4021,MD,0,,0
4022,,,,0,,,0,4022,RN,0,,0
4024,,,,0,,,0,4024,MD,0,,0
4025,,,,0,,,0,4025,MD,0,,0
4027,,,,0,,,0,4027,RN,0,,0
4028,,,,0,,,0,4028,MD,0,,0
4030,,,,0,,,0,4030,MD,0,,0
